9.999990000000001135e-05 9.999992500017472752e-01
1.009252886076684579e-04 9.999992360567158123e-01
1.018591388054116922e-04 9.999992218539542899e-01
1.028016298126473545e-04 9.999992073871443177e-01
1.037528415818012690e-04 9.999991926513764895e-01
1.047128548050899619e-04 9.999991776416509159e-01
1.056817509213658533e-04 9.999991623528727835e-01
1.066596121230257798e-04 9.999991467798557965e-01
1.076465213629834987e-04 9.999991309173149601e-01
1.086425623617065533e-04 9.999991147598682462e-01
1.096478196143185150e-04 9.999990983020318192e-01
1.106623783977666307e-04 9.999990815382218123e-01
1.116863247780561209e-04 9.999990644627493319e-01
1.127197456175510346e-04 9.999990470698200129e-01
1.137627285823430973e-04 9.999990293535334640e-01
1.148153621496882939e-04 9.999990113078759402e-01
1.158777356155126111e-04 9.999989929267254496e-01
1.169499391019871001e-04 9.999989742038438711e-01
1.180320635651729795e-04 9.999989551328782866e-01
1.191242008027374951e-04 9.999989357073569840e-01
1.202264434617412975e-04 9.999989159206885692e-01
1.213388850464977283e-04 9.999988957661596345e-01
1.224616199265048566e-04 9.999988752369300959e-01
1.235947433444510525e-04 9.999988543260336371e-01
1.247383514242943116e-04 9.999988330263757108e-01
1.258925411794167165e-04 9.999988113307274329e-01
1.270574105208541540e-04 9.999987892317271365e-01
1.282330582656021449e-04 9.999987667218764864e-01
1.294195841449985961e-04 9.999987437935372592e-01
1.306170888131841560e-04 9.999987204389283457e-01
1.318256738556407130e-04 9.999986966501258623e-01
1.330454417978091223e-04 9.999986724190564891e-01
1.342764961137863776e-04 9.999986477374989136e-01
1.355189412351036099e-04 9.999986225970773912e-01
1.367728825595849139e-04 9.999985969892605242e-01
1.380384264602884921e-04 9.999985709053601513e-01
1.393156802945303069e-04 9.999985443365239091e-01
1.406047524129913791e-04 9.999985172737370087e-01
1.419057521689092197e-04 9.999984897078160184e-01
1.432187899273543456e-04 9.999984616294071982e-01
1.445439770745927444e-04 9.999984330289820589e-01
1.458814260275348321e-04 9.999984038968362521e-01
1.472312502432718783e-04 9.999983742230844630e-01
1.485935642287006860e-04 9.999983439976564137e-01
1.499684835502373655e-04 9.999983132102977512e-01
1.513561248436207985e-04 9.999982818505593896e-01
1.527566058238072572e-04 9.999982499078011733e-01
1.541700452949559331e-04 9.999982173711829958e-01
1.555965631605074368e-04 9.999981842296652434e-01
1.570362804333552405e-04 9.999981504720015790e-01
1.584893192461113377e-04 9.999981160867377206e-01
1.599558028614668796e-04 9.999980810622053351e-01
1.614358556826486269e-04 9.999980453865179308e-01
1.629296032639722489e-04 9.999980090475726335e-01
1.644371723214931730e-04 9.999979720330364197e-01
1.659586907437560427e-04 9.999979343303500023e-01
1.674942876026437328e-04 9.999978959267193934e-01
1.690440931643264085e-04 9.999978568091131281e-01
1.706082389003123645e-04 9.999978169642586012e-01
1.721868574986006712e-04 9.999977763786336293e-01
1.737800828749375506e-04 9.999977350384672281e-01
1.753880501841761322e-04 9.999976929297306194e-01
1.770108958317421078e-04 9.999976500381363431e-01
1.786487574852050687e-04 9.999976063491295974e-01
1.803017740859569080e-04 9.999975618478853523e-01
1.819700858609983455e-04 9.999975165193024651e-01
1.836538343348346309e-04 9.999974703480007943e-01
1.853531623414811315e-04 9.999974233183115402e-01
1.870682140365800502e-04 9.999973754142784665e-01
1.887991349096293590e-04 9.999973266196435784e-01
1.905460717963247056e-04 9.999972769178513410e-01
1.923091728910158126e-04 9.999972262920362454e-01
1.940885877592778011e-04 9.999971747250193665e-01
1.958844673505989861e-04 9.999971221993025905e-01
1.976969640111860623e-04 9.999970686970621747e-01
1.995262314968879571e-04 9.999970142001429751e-01
2.013724249862388098e-04 9.999969586900536722e-01
2.032357010936221644e-04 9.999969021479573339e-01
2.051162178825565396e-04 9.999968445546679741e-01
2.070141348791041899e-04 9.999967858906422258e-01
2.089296130854039282e-04 9.999967261359740123e-01
2.108628149933289286e-04 9.999966652703863312e-01
2.128139045982711916e-04 9.999966032732271470e-01
2.147830474130534028e-04 9.999965401234580664e-01
2.167704104819694869e-04 9.999964757996496756e-01
2.187761623949552108e-04 9.999964102799768773e-01
2.208004733018899767e-04 9.999963435422067892e-01
2.228435149270303439e-04 9.999962755636928602e-01
2.249054605835780745e-04 9.999962063213674313e-01
2.269864851883821857e-04 9.999961357917355187e-01
2.290867652767772866e-04 9.999960639508644888e-01
2.312064790175594729e-04 9.999959907743768417e-01
2.333458062281002410e-04 9.999959162374416621e-01
2.355049283896009141e-04 9.999958403147662933e-01
2.376840286624876358e-04 9.999957629805876769e-01
