#      k          |W(k)|^{2}    
    0.289500      0.838217
    0.290500      0.837182
    0.291500      0.836146
    0.292500      0.835106
    0.293500      0.834065
    0.294500      0.833021
    0.295500      0.831974
    0.296500      0.830926
    0.297500      0.829875
    0.298500      0.828821
    0.299500      0.827765
    0.300500      0.826707
    0.301500      0.825646
    0.302500      0.824583
    0.303500      0.823518
    0.304500      0.822451
    0.305500      0.821381
    0.306500      0.820309
    0.307500      0.819234
    0.308500      0.818158
    0.309500      0.817079
    0.310500      0.815998
    0.311500      0.814914
    0.312500      0.813829
    0.313500      0.812741
    0.314500      0.811651
    0.315500      0.810559
    0.316500      0.809465
    0.317500      0.808368
    0.318500      0.807270
    0.319500      0.806169
    0.320500      0.805066
    0.321500      0.803961
    0.322500      0.802854
    0.323500      0.801744
    0.324500      0.800633
    0.325500      0.799520
    0.326500      0.798404
    0.327500      0.797287
    0.328500      0.796167
    0.329500      0.795046
    0.330500      0.793922
    0.331500      0.792796
    0.332500      0.791669
    0.333500      0.790539
    0.334500      0.789408
    0.335500      0.788274
    0.336500      0.787139
    0.337500      0.786001
    0.338500      0.784862
    0.339500      0.783720
    0.340500      0.782577
    0.341500      0.781432
    0.342500      0.780285
    0.343500      0.779136
    0.344500      0.777986
    0.345500      0.776833
    0.346500      0.775679
    0.347500      0.774522
    0.348500      0.773364
    0.349500      0.772205
    0.350500      0.771043
    0.351500      0.769880
    0.352500      0.768714
    0.353500      0.767547
    0.354500      0.766379
    0.355500      0.765208
    0.356500      0.764036
    0.357500      0.762862
    0.358500      0.761686
    0.359500      0.760509
    0.360500      0.759330
    0.361500      0.758150
    0.362500      0.756967
    0.363500      0.755783
    0.364500      0.754598
    0.365500      0.753411
    0.366500      0.752222
    0.367500      0.751031
    0.368500      0.749839
    0.369500      0.748646
    0.370500      0.747450
    0.371500      0.746254
    0.372500      0.745056
    0.373500      0.743856
    0.374500      0.742654
    0.375500      0.741452
    0.376500      0.740247
    0.377500      0.739041
    0.378500      0.737834
    0.379500      0.736625
    0.380500      0.735415
    0.381500      0.734204
    0.382500      0.732990
    0.383500      0.731776
    0.384500      0.730560
    0.385500      0.729343
    0.386500      0.728124
    0.387500      0.726904
    0.388500      0.725683
    0.389500      0.724460
    0.390500      0.723236
    0.391500      0.722010
    0.392500      0.720784
    0.393500      0.719556
    0.394500      0.718326
    0.395500      0.717096
    0.396500      0.715864
    0.397500      0.714631
    0.398500      0.713396
    0.399500      0.712161
    0.400500      0.710924
    0.401500      0.709686
    0.402500      0.708447
    0.403500      0.707206
    0.404500      0.705965
    0.405500      0.704722
    0.406500      0.703478
    0.407500      0.702233
    0.408500      0.700987
    0.409500      0.699739
    0.410500      0.698491
    0.411500      0.697242
    0.412500      0.695991
    0.413500      0.694739
    0.414500      0.693487
    0.415500      0.692233
    0.416500      0.690978
    0.417500      0.689722
    0.418500      0.688465
    0.419500      0.687208
    0.420500      0.685949
    0.421500      0.684689
    0.422500      0.683428
    0.423500      0.682166
    0.424500      0.680904
    0.425500      0.679640
    0.426500      0.678376
    0.427500      0.677110
    0.428500      0.675844
    0.429500      0.674577
    0.430500      0.673309
    0.431500      0.672040
    0.432500      0.670770
    0.433500      0.669499
    0.434500      0.668228
    0.435500      0.666955
    0.436500      0.665682
    0.437500      0.664408
    0.438500      0.663134
    0.439500      0.661858
    0.440500      0.660582
    0.441500      0.659305
    0.442500      0.658027
    0.443500      0.656749
    0.444500      0.655470
    0.445500      0.654190
    0.446500      0.652909
    0.447500      0.651628
    0.448500      0.650346
    0.449500      0.649064
    0.450500      0.647781
    0.451500      0.646497
    0.452500      0.645212
    0.453500      0.643927
    0.454500      0.642642
    0.455500      0.641355
    0.456500      0.640069
    0.457500      0.638781
    0.458500      0.637493
    0.459500      0.636205
    0.460500      0.634916
    0.461500      0.633626
    0.462500      0.632336
    0.463500      0.631046
    0.464500      0.629755
    0.465500      0.628463
    0.466500      0.627171
    0.467500      0.625879
    0.468500      0.624586
    0.469500      0.623292
    0.470500      0.621999
    0.471500      0.620705
    0.472500      0.619410
    0.473500      0.618115
    0.474500      0.616820
    0.475500      0.615524
    0.476500      0.614228
    0.477500      0.612932
    0.478500      0.611635
    0.479500      0.610338
    0.480500      0.609041
    0.481500      0.607743
    0.482500      0.606445
    0.483500      0.605147
    0.484500      0.603849
    0.485500      0.602550
    0.486500      0.601251
    0.487500      0.599952
    0.488500      0.598653
    0.489500      0.597353
    0.490500      0.596053
    0.491500      0.594753
    0.492500      0.593453
    0.493500      0.592153
    0.494500      0.590852
    0.495500      0.589552
    0.496500      0.588251
    0.497500      0.586950
    0.498500      0.585649
    0.499500      0.584348
    0.500500      0.583047
    0.501500      0.581746
    0.502500      0.580444
    0.503500      0.579143
    0.504500      0.577841
    0.505500      0.576540
    0.506500      0.575239
    0.507500      0.573937
    0.508500      0.572636
    0.509500      0.571334
    0.510500      0.570033
    0.511500      0.568731
    0.512500      0.567430
    0.513500      0.566128
    0.514500      0.564827
    0.515500      0.563526
    0.516500      0.562225
    0.517500      0.560924
    0.518500      0.559623
    0.519500      0.558322
    0.520500      0.557021
    0.521500      0.555721
    0.522500      0.554420
    0.523500      0.553120
    0.524500      0.551820
    0.525500      0.550520
    0.526500      0.549220
    0.527500      0.547921
    0.528500      0.546621
    0.529500      0.545322
    0.530500      0.544023
    0.531500      0.542725
    0.532500      0.541426
    0.533500      0.540128
    0.534500      0.538830
    0.535500      0.537533
    0.536500      0.536236
    0.537500      0.534939
    0.538500      0.533642
    0.539500      0.532346
    0.540500      0.531050
    0.541500      0.529754
    0.542500      0.528459
    0.543500      0.527164
    0.544500      0.525869
    0.545500      0.524575
    0.546500      0.523281
    0.547500      0.521987
    0.548500      0.520694
    0.549500      0.519402
    0.550500      0.518110
    0.551500      0.516818
    0.552500      0.515527
    0.553500      0.514236
    0.554500      0.512946
    0.555500      0.511656
    0.556500      0.510366
    0.557500      0.509078
    0.558500      0.507789
    0.559500      0.506501
    0.560500      0.505214
    0.561500      0.503927
    0.562500      0.502641
    0.563500      0.501355
    0.564500      0.500070
    0.565500      0.498786
    0.566500      0.497502
    0.567500      0.496219
    0.568500      0.494936
    0.569500      0.493654
    0.570500      0.492372
    0.571500      0.491091
    0.572500      0.489811
    0.573500      0.488532
    0.574500      0.487253
    0.575500      0.485975
    0.576500      0.484697
    0.577500      0.483420
    0.578500      0.482144
    0.579500      0.480869
    0.580500      0.479594
    0.581500      0.478320
    0.582500      0.477047
    0.583500      0.475775
    0.584500      0.474503
    0.585500      0.473232
    0.586500      0.471962
    0.587500      0.470692
    0.588500      0.469424
    0.589500      0.468156
    0.590500      0.466889
    0.591500      0.465623
    0.592500      0.464357
    0.593500      0.463093
    0.594500      0.461829
    0.595500      0.460566
    0.596500      0.459305
    0.597500      0.458043
    0.598500      0.456783
    0.599500      0.455524
    0.600500      0.454266
    0.601500      0.453008
    0.602500      0.451752
    0.603500      0.450496
    0.604500      0.449241
    0.605500      0.447988
    0.606500      0.446735
    0.607500      0.445483
    0.608500      0.444232
    0.609500      0.442982
    0.610500      0.441733
    0.611500      0.440485
    0.612500      0.439239
    0.613500      0.437993
    0.614500      0.436748
    0.615500      0.435504
    0.616500      0.434261
    0.617500      0.433019
    0.618500      0.431779
    0.619500      0.430539
    0.620500      0.429300
    0.621500      0.428063
    0.622500      0.426827
    0.623500      0.425591
    0.624500      0.424357
    0.625500      0.423124
    0.626500      0.421892
    0.627500      0.420661
    0.628500      0.419431
    0.629500      0.418203
    0.630500      0.416975
    0.631500      0.415749
    0.632500      0.414524
    0.633500      0.413300
    0.634500      0.412078
    0.635500      0.410856
    0.636500      0.409636
    0.637500      0.408416
    0.638500      0.407199
    0.639500      0.405982
    0.640500      0.404766
    0.641500      0.403552
    0.642500      0.402339
    0.643500      0.401127
    0.644500      0.399917
    0.645500      0.398708
    0.646500      0.397500
    0.647500      0.396293
    0.648500      0.395088
    0.649500      0.393884
    0.650500      0.392681
    0.651500      0.391480
    0.652500      0.390279
    0.653500      0.389081
    0.654500      0.387883
    0.655500      0.386687
    0.656500      0.385492
    0.657500      0.384299
    0.658500      0.383107
    0.659500      0.381916
    0.660500      0.380727
    0.661500      0.379539
    0.662500      0.378352
    0.663500      0.377167
    0.664500      0.375983
    0.665500      0.374801
    0.666500      0.373620
    0.667500      0.372441
    0.668500      0.371263
    0.669500      0.370086
    0.670500      0.368911
    0.671500      0.367737
    0.672500      0.366565
    0.673500      0.365394
    0.674500      0.364225
    0.675500      0.363057
    0.676500      0.361891
    0.677500      0.360726
    0.678500      0.359563
    0.679500      0.358401
    0.680500      0.357240
    0.681500      0.356082
    0.682500      0.354924
    0.683500      0.353769
    0.684500      0.352614
    0.685500      0.351462
    0.686500      0.350311
    0.687500      0.349161
    0.688500      0.348013
    0.689500      0.346867
    0.690500      0.345722
    0.691500      0.344578
    0.692500      0.343437
    0.693500      0.342297
    0.694500      0.341158
    0.695500      0.340021
    0.696500      0.338886
    0.697500      0.337752
    0.698500      0.336620
    0.699500      0.335490
    0.700500      0.334361
